Timestamp,Trade High,Trade Close,Trade Low,Trade Open
16/09/2011,1175.46,1170.93,1154.62,1154.95
15/09/2011,1158.74,1154.9,1130.86,1131.14
14/09/2011,1151.64,1131.18,1125.4,1146.61
13/09/2011,1161.46,1146.55,1143.34,1153.76
12/09/2011,1182.6,1153.73,1148.59,1182.56
9/09/2011,1212.66,1182.58,1179.79,1212.63
8/09/2011,1217.73,1212.64,1202.98,1205.36
7/09/2011,1209.05,1205.36,1187.07,1189.76
6/09/2011,1207.09,1189.74,1183.56,1205.87
5/09/2011,1233.01,1205.9,1200.68,1233.01
2/09/2011,1248.84,1233.06,1228.81,1248.79
1/09/2011,1253.35,1248.79,1241.76,1248.11
31/08/2011,1248.55,1248.13,1231.14,1231.18
30/08/2011,1234.27,1231.18,1218.55,1219.59
